time,Pd_MW
0008/02/16 00:00,1.688004
0008/02/16 00:05,1.668991
0008/02/16 00:10,1.651987
0008/02/16 00:15,1.635632
0008/02/16 00:20,1.618002
0008/02/16 00:25,1.600389
0008/02/16 00:30,1.586006
0008/02/16 00:35,1.570428
0008/02/16 00:40,1.556999
0008/02/16 00:45,1.544004
0008/02/16 00:50,1.530004
0008/02/16 00:55,1.515495
0008/02/16 01:00,1.505003
0008/02/16 01:05,1.494493
0008/02/16 01:10,1.480996
0008/02/16 01:15,1.470006
0008/02/16 01:20,1.461469
0008/02/16 01:25,1.450439
0008/02/16 01:30,1.440001
0008/02/16 01:35,1.431424
0008/02/16 01:40,1.423429
0008/02/16 01:45,1.414422
0008/02/16 01:50,1.407813
0008/02/16 01:55,1.399406
0008/02/16 02:00,1.392392
0008/02/16 02:05,1.386385
0008/02/16 02:10,1.380379
0008/02/16 02:15,1.37299
0008/02/16 02:20,1.369372
0008/02/16 02:25,1.364368
0008/02/16 02:30,1.359364
0008/02/16 02:35,1.355352
0008/02/16 02:40,1.348996
0008/02/16 02:45,1.345002
0008/02/16 02:50,1.341334
0008/02/16 02:55,1.335993
0008/02/16 03:00,1.331003
0008/02/16 03:05,1.326006
0008/02/16 03:10,1.321002
0008/02/16 03:15,1.316006
0008/02/16 03:20,1.312319
0008/02/16 03:25,1.305982
0008/02/16 03:30,1.300995
0008/02/16 03:35,1.297
0008/02/16 03:40,1.293296
0008/02/16 03:45,1.290286
0008/02/16 03:50,1.285011
0008/02/16 03:55,1.283275
0008/02/16 04:00,1.280011
0008/02/16 04:05,1.276721
0008/02/16 04:10,1.277
0008/02/16 04:15,1.275721
0008/02/16 04:20,1.276997
0008/02/16 04:25,1.27673
0008/02/16 04:30,1.280271
0008/02/16 04:35,1.280007
0008/02/16 04:40,1.281992
0008/02/16 04:45,1.284
0008/02/16 04:50,1.286
0008/02/16 04:55,1.288005
0008/02/16 05:00,1.289995
0008/02/16 05:05,1.292002
0008/02/16 05:10,1.295009
0008/02/16 05:15,1.297005
0008/02/16 05:20,1.301302
0008/02/16 05:25,1.301995
0008/02/16 05:30,1.305994
0008/02/16 05:35,1.308997
0008/02/16 05:40,1.315628
0008/02/16 05:45,1.317014
0008/02/16 05:50,1.322311
0008/02/16 05:55,1.327325
0008/02/16 06:00,1.333334
0008/02/16 06:05,1.339349
0008/02/16 06:10,1.347694
0008/02/16 06:15,1.355698
0008/02/16 06:20,1.362363
0008/02/16 06:25,1.371378
0008/02/16 06:30,1.381384
0008/02/16 06:35,1.392397
0008/02/16 06:40,1.4054
0008/02/16 06:45,1.418419
0008/02/16 06:50,1.430998
0008/02/16 06:55,1.447
0008/02/16 07:00,1.463997
0008/02/16 07:05,1.481993
0008/02/16 07:10,1.502001
0008/02/16 07:15,1.52201
0008/02/16 07:20,1.541462
0008/02/16 07:25,1.563432
0008/02/16 07:30,1.586999
0008/02/16 07:35,1.606388
0008/02/16 07:40,1.628379
0008/02/16 07:45,1.649354
0008/02/16 07:50,1.667657
0008/02/16 07:55,1.69099
0008/02/16 08:00,1.707297
0008/02/16 08:05,1.72428
0008/02/16 08:10,1.740251
0008/02/16 08:15,1.754235
0008/02/16 08:20,1.768233
0008/02/16 08:25,1.780216
0008/02/16 08:30,1.7922
0008/02/16 08:35,1.803196
0008/02/16 08:40,1.814986
0008/02/16 08:45,1.824999
0008/02/16 08:50,1.83216
0008/02/16 08:55,1.843005
0008/02/16 09:00,1.852003
0008/02/16 09:05,1.861004
0008/02/16 09:10,1.870004
0008/02/16 09:15,1.878015
0008/02/16 09:20,1.888888
0008/02/16 09:25,1.896997
0008/02/16 09:30,1.905998
0008/02/16 09:35,1.916001
0008/02/16 09:40,1.926985
0008/02/16 09:45,1.937991
0008/02/16 09:50,1.948997
0008/02/16 09:55,1.963975
0008/02/16 10:00,1.975005
0008/02/16 10:05,1.987005
0008/02/16 10:10,2.004007
0008/02/16 10:15,2.016975
0008/02/16 10:20,2.036002
0008/02/16 10:25,2.054055
0008/02/16 10:30,2.069985
0008/02/16 10:35,2.09009
0008/02/16 10:40,2.105997
0008/02/16 10:45,2.126123
0008/02/16 10:50,2.145142
0008/02/16 10:55,2.161997
0008/02/16 11:00,2.180999
0008/02/16 11:05,2.200001
0008/02/16 11:10,2.218997
0008/02/16 11:15,2.237
0008/02/16 11:20,2.253733
0008/02/16 11:25,2.270726
0008/02/16 11:30,2.289998
0008/02/16 11:35,2.305003
0008/02/16 11:40,2.317676
0008/02/16 11:45,2.32833
0008/02/16 11:50,2.344004
0008/02/16 11:55,2.353997
0008/02/16 12:00,2.359645
0008/02/16 12:05,2.363264
0008/02/16 12:10,2.371997
0008/02/16 12:15,2.375014
0008/02/16 12:20,2.373618
0008/02/16 12:25,2.375006
0008/02/16 12:30,2.373996
0008/02/16 12:35,2.37437
0008/02/16 12:40,2.369
0008/02/16 12:45,2.367361
0008/02/16 12:50,2.363358
0008/02/16 12:55,2.359355
0008/02/16 13:00,2.355346
0008/02/16 13:05,2.351351
0008/02/16 13:10,2.347359
0008/02/16 13:15,2.344339
0008/02/16 13:20,2.340338
0008/02/16 13:25,2.335001
0008/02/16 13:30,2.331997
0008/02/16 13:35,2.329004
0008/02/16 13:40,2.328323
0008/02/16 13:45,2.323989
0008/02/16 13:50,2.322007
0008/02/16 13:55,2.320008
0008/02/16 14:00,2.318005
0008/02/16 14:05,2.316006
0008/02/16 14:10,2.31269
0008/02/16 14:15,2.314004
0008/02/16 14:20,2.314004
0008/02/16 14:25,2.314
0008/02/16 14:30,2.315992
0008/02/16 14:35,2.317999
0008/02/16 14:40,2.318682
0008/02/16 14:45,2.325001
0008/02/16 14:50,2.330006
0008/02/16 14:55,2.336993
0008/02/16 15:00,2.344999
0008/02/16 15:05,2.354993
0008/02/16 15:10,2.366005
0008/02/16 15:15,2.37701
0008/02/16 15:20,2.387615
0008/02/16 15:25,2.405393
0008/02/16 15:30,2.417002
0008/02/16 15:35,2.429999
0008/02/16 15:40,2.442999
0008/02/16 15:45,2.456006
0008/02/16 15:50,2.468007
0008/02/16 15:55,2.479002
0008/02/16 16:00,2.487997
0008/02/16 16:05,2.495999
0008/02/16 16:10,2.504503
0008/02/16 16:15,2.508003
0008/02/16 16:20,2.511999
0008/02/16 16:25,2.512483
0008/02/16 16:30,2.519519
0008/02/16 16:35,2.519009
0008/02/16 16:40,2.519997
0008/02/16 16:45,2.518482
0008/02/16 16:50,2.523523
0008/02/16 16:55,2.522002
0008/02/16 17:00,2.522989
0008/02/16 17:05,2.523998
0008/02/16 17:10,2.522473
0008/02/16 17:15,2.524468
0008/02/16 17:20,2.525473
